name,rating,position,overall_pace,overall_shoot,overall_passing,overall_dribbling,overall_defending,overall_physical,acceleration,sprint_speed,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kicks,short_passing,long_passing,curve,agility,balance,reactions,ball_controll,dribbling,composure,interceptions,heading,defensive_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,agression
James Maddison,86,RM,79,83,88,89,59,67,83,75,81,88,85,78,79,89,85,88,88,87,90,88,87,82,90,89,88,72,57,0,99,69,55,82,57,73
Moussa Diaby,86,CF,95,76,78,89,44,61,97,94,83,76,67,70,52,80,79,44,83,76,74,95,96,79,88,91,78,75,44,0,55,72,64,85,45,69
Stefan de Vrij,86,CB,70,43,68,71,89,82,68,71,26,68,63,28,43,73,51,38,78,74,47,63,61,87,75,68,87,99,99,0,99,99,83,83,82,80
Domenico Berardi,86,CF,86,86,83,87,62,78,86,86,87,88,85,83,81,85,79,77,87,81,80,93,88,85,89,86,79,70,99,0,81,81,71,81,70,93
Hamari Traoré,86,CDM,90,78,82,82,81,84,88,92,71,99,79,44,64,75,91,48,85,83,84,81,85,82,83,82,78,99,99,0,99,99,92,96,79,81
Ross Barkley,86,RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Barkley,86,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seko Fofana,86,CB,82,76,80,84,82,89,82,82,73,85,81,70,58,84,66,66,87,82,77,72,70,86,86,85,86,99,90,0,99,99,65,95,91,83
Oleksandr Zinchenko,86,CM,77,75,86,87,84,78,85,70,67,89,82,70,68,84,87,82,87,84,87,85,85,85,89,87,87,99,99,0,99,99,81,85,71,84
Jonathan Ikoné,86,RW,97,80,83,91,43,70,98,97,79,87,79,68,81,89,83,82,83,73,89,99,90,82,87,93,86,58,67,0,62,62,40,84,64,76
Stefan de Vrij,86,CB,70,43,68,71,89,82,68,71,26,68,63,28,43,73,51,38,78,74,47,63,61,87,75,68,87,99,99,0,99,99,83,83,82,80
Rodrigo Bentancur,86,CM,75,70,86,87,85,84,74,76,62,78,73,80,72,85,83,74,90,88,77,76,80,84,90,89,88,99,98,0,99,99,80,94,79,85
Jesús Navas,86,RB,88,72,79,84,83,79,90,87,67,78,74,79,59,80,85,49,80,76,79,85,87,87,85,83,85,99,99,0,99,99,87,99,51,99
Fikayo Tomori,86,CB,87,43,63,69,87,83,81,91,35,60,48,34,29,50,59,42,77,68,40,77,74,88,69,64,85,99,99,0,99,99,85,75,86,85
Mason Mount,86,CAM,77,84,87,84,57,70,79,75,84,84,86,78,72,85,85,86,89,86,84,79,78,86,87,84,86,86,86,0,83,60,56,90,61,71
Pedri,86,CM,80,69,83,88,69,74,83,77,71,69,70,59,55,90,70,64,89,87,81,89,91,86,89,88,88,99,72,0,99,91,66,89,71,63
Gary Medel,86,CDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merino,86,CM,80,75,84,85,85,86,80,80,76,81,75,56,58,84,80,72,87,85,83,78,75,87,88,86,83,99,99,0,99,99,86,89,84,86
Moussa Sissoko,86,CDM,82,59,79,86,83,88,74,88,50,80,57,60,58,71,79,66,82,81,82,73,67,86,87,89,85,99,99,0,99,99,71,85,92,87
Leon Bailey,86,RM,89,85,85,88,37,69,90,89,86,86,85,81,77,91,85,91,84,75,91,90,89,84,87,90,80,41,99,0,49,35,86,71,69,62
Emile Smith Rowe,86,LM,88,85,82,86,28,76,90,86,89,84,80,72,77,86,80,63,87,72,78,80,80,82,86,89,83,37,48,0,40,41,42,93,76,65
Wilfried Zaha,86,LW,93,85,79,83,40,88,92,93,87,89,77,73,84,78,81,58,82,75,77,82,72,71,84,85,78,52,70,0,58,53,67,90,89,89
Romain Faivre,86,RM,87,84,85,85,59,79,94,82,83,84,86,75,91,88,87,88,85,77,91,84,78,81,85,86,84,88,82,0,86,78,77,96,75,71
Leroy Sané,86,CAM,90,84,83,87,40,69,91,90,83,89,83,87,74,84,85,86,85,73,87,89,83,84,87,88,84,50,99,0,47,52,67,73,69,66
Dušan Vlahović,86,ST,82,87,69,80,30,82,79,84,90,86,84,80,75,71,60,62,76,62,72,63,53,87,87,82,82,31,99,0,34,31,71,82,91,62
Matthijs de Ligt,86,CB,76,60,63,70,86,88,71,81,51,83,67,46,41,46,54,57,77,69,50,61,63,85,74,66,83,99,99,0,99,99,95,77,95,85
Jude Bellingham,86,CM,77,78,81,86,80,82,80,75,80,81,77,74,58,87,69,51,87,85,71,83,81,86,86,87,81,99,99,0,99,99,78,91,76,87
Sheraldo Becker,86,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheraldo Becker,86,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcao,86,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Willock,86,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luuk de Jong,86,ST,86,87,81,83,50,75,75,93,88,93,79,93,75,79,75,79,90,71,72,62,66,89,94,81,90,59,99,45,63,54,88,69,85,53
Sidney Govou,86,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Keane,86,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Ji Sung,86,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Gunnar Solskjær,86,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirk Kuyt,86,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freddie Ljungberg,86,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landon Donovan,86,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sami Al Jaber,86,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandr Mostovoi,86,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Włodzimierz Smolarek,86,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capdevila,86,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciro Immobile,86,ST,85,87,68,80,39,75,84,86,91,86,80,85,88,71,55,58,79,57,70,75,84,87,81,79,76,40,81,0,33,32,82,78,74,73
Wissam Ben Yedder,86,ST,83,86,81,90,41,71,84,83,89,86,76,87,87,83,77,79,86,69,85,93,93,87,90,89,87,62,99,0,47,37,80,75,71,65
Thomas Lemar,86,CM,85,81,86,90,73,70,87,84,80,82,82,80,72,88,85,84,87,83,88,93,88,85,89,91,83,99,77,0,99,99,74,88,61,69
Raphinha,86,RW,94,82,81,88,53,77,93,94,80,86,82,75,81,81,83,83,80,78,85,91,82,86,87,90,83,81,66,0,80,56,78,91,69,80
Bremer,86,CB,81,53,60,69,87,83,80,81,52,72,38,40,46,48,49,26,74,74,45,70,70,84,69,66,79,99,99,0,99,99,86,74,86,86
Rafael Leão,86,LW,92,80,76,88,29,77,91,93,83,83,75,77,65,77,78,62,79,66,83,84,82,85,88,91,83,35,91,0,35,30,65,80,83,62
Federico Valverde,86,CM,89,77,82,81,80,82,84,93,72,86,84,73,61,84,69,69,89,88,73,78,70,86,85,80,84,99,87,0,99,99,64,88,81,83
Cody Gakpo,86,LW,89,85,82,87,44,79,88,89,85,89,86,78,70,84,88,81,81,72,83,84,74,84,87,89,81,61,94,0,60,44,80,84,82,64
Martin Terrier,86,LW,91,86,82,83,41,77,90,92,89,84,85,82,78,84,80,63,85,79,84,78,74,83,85,84,82,43,99,0,49,54,79,80,82,60
Robin Gosens,86,LWB,87,79,80,83,83,84,84,89,83,80,72,75,58,65,89,63,86,83,75,75,69,88,85,84,81,99,99,0,99,99,94,90,80,84
Franck Yannick Kessié,86,CDM,80,78,77,82,84,89,79,81,75,86,80,62,90,79,69,56,86,78,63,73,80,84,87,81,87,99,99,0,99,99,74,95,88,86
Moses Simon,86,LM,98,80,81,89,43,76,97,98,78,85,82,83,69,81,88,69,82,74,81,99,99,79,85,91,82,61,82,0,56,59,99,88,81,45
Darwin Núñez,86,ST,93,86,74,83,46,90,95,92,87,90,79,82,82,77,73,66,75,65,82,84,72,91,83,82,89,61,99,0,58,49,80,93,92,82
Ángel Di María,86,RW,82,82,86,89,50,70,83,81,79,86,87,81,76,89,87,90,84,82,94,93,77,85,89,90,88,60,73,0,79,74,73,77,64,76
Kai Havertz,86,ST,83,82,81,86,47,69,78,87,84,77,81,83,76,84,76,54,86,81,86,79,77,86,87,87,86,54,99,0,66,54,78,80,72,44
Federico Valverde,86,RW,89,77,82,81,80,82,84,93,72,86,84,73,61,84,69,69,89,88,73,78,70,86,85,80,84,99,87,0,99,99,64,88,81,83
Patrick Kluivert,86,ST,87,83,77,81,37,76,87,87,85,86,77,80,78,80,67,74,82,75,73,79,74,85,84,78,79,35,84,34,25,35,88,77,78,69
Raúl,86,CF,77,85,80,86,50,71,75,78,87,82,80,86,82,93,68,79,86,67,74,85,88,90,88,84,95,45,88,51,43,35,84,76,75,51
Andriy Shevchenko,86,ST,88,90,67,85,32,71,86,89,91,89,88,87,87,70,57,87,70,56,86,80,77,82,85,87,84,28,80,24,29,25,85,74,73,57
Michael Owen,86,ST,84,86,67,85,35,64,85,83,90,84,78,88,82,72,68,65,71,47,71,82,84,91,84,86,84,24,79,31,33,32,82,74,59,58
Ruud van Nistelrooy,86,ST,78,86,70,78,40,75,77,79,88,89,74,89,85,75,67,75,76,50,74,67,62,92,83,77,90,39,82,34,34,33,72,73,80,68
David Trezeguet,86,ST,84,86,66,77,40,75,83,85,90,89,75,86,82,63,55,53,77,67,51,64,52,85,85,77,79,34,86,31,42,31,72,79,82,51
Christian Vieri,86,ST,84,86,70,80,37,81,85,84,87,88,82,81,81,65,60,68,78,68,75,62,69,83,83,82,82,36,87,35,26,25,83,83,86,66
Henrik Larsson,86,ST,86,86,74,84,46,72,88,84,90,80,80,85,87,75,68,81,75,70,83,87,81,88,85,82,86,46,92,32,44,43,87,80,66,72
Patrick Vieira,86,CM,81,75,80,79,86,89,82,80,74,78,75,67,76,89,66,60,86,85,67,71,69,90,84,76,92,90,82,83,89,84,80,85,91,93
Ruud Gullit,86,CM,80,80,86,82,83,78,77,82,76,84,80,83,84,89,84,84,85,87,85,74,78,82,87,80,94,84,87,81,84,80,74,78,82,67
Frank Rijkaard,86,CDM,70,67,77,75,86,81,67,72,58,79,74,61,74,82,68,55,85,82,50,64,48,82,87,69,94,92,84,82,86,85,72,75,88,72
Frank Lampard,86,CM,75,86,85,82,70,76,77,73,85,86,88,81,86,82,79,82,89,88,81,69,65,86,87,82,84,77,67,69,70,60,78,89,73,68
Steven Gerrard,86,CDM,70,85,88,78,80,81,68,71,81,90,87,84,86,84,87,84,90,92,83,63,65,88,88,74,87,79,75,78,83,80,73,77,83,83
Roy Keane,86,CM,66,70,81,77,88,87,65,67,69,64,77,61,73,85,66,72,88,86,70,64,72,93,86,70,93,93,78,88,90,82,77,87,85,94
Wayne Rooney,86,CAM,83,87,87,86,59,85,84,82,85,90,88,87,88,86,83,87,88,89,87,82,82,89,90,83,89,53,85,54,61,49,82,85,86,85
John Barnes,86,CAM,82,83,86,87,61,84,79,84,83,83,85,80,74,86,86,83,88,81,82,77,75,85,89,88,91,60,74,68,59,34,68,85,85,83
Pavel Nedvěd,86,LM,90,82,84,87,46,77,89,90,81,86,84,82,75,83,84,83,86,85,81,86,87,80,86,88,84,41,71,37,49,45,75,89,71,76
Juan Sebastián Verón,86,CM,70,80,85,81,74,79,70,70,72,89,88,72,90,88,78,84,88,85,85,65,70,84,87,80,91,82,65,76,74,59,63,78,78,88
Michael Ballack,86,CM,72,86,86,78,80,83,70,74,83,92,88,79,88,88,81,86,89,88,68,60,68,86,85,77,87,83,85,76,82,79,79,79,84,84
Gianluca Zambrotta,86,RWB,91,72,82,84,82,84,90,92,66,81,77,68,70,78,88,57,84,80,82,79,73,84,86,85,82,84,78,79,84,82,78,90,81,85
Carles Puyol,86,RB,76,45,68,58,88,89,75,76,35,69,41,37,55,57,78,48,72,71,50,55,56,87,64,50,82,89,86,89,87,92,86,91,89,88
Roberto Carlos,86,LB,92,80,79,81,81,78,94,91,73,92,86,79,75,72,81,90,80,77,88,85,89,82,84,78,74,84,71,77,83,87,84,84,76,75
Fernando Hierro,86,CB,75,65,73,71,87,82,75,75,53,79,75,71,70,65,66,69,77,86,64,70,80,84,75,65,78,87,89,87,88,79,92,78,85,78
Romelu Lukaku,86,ST,80,85,75,77,38,82,72,86,88,87,75,79,88,75,73,66,78,70,78,59,52,86,78,82,82,27,87,0,41,30,74,67,95,71
Christopher Nkunku,86,CF,88,81,83,88,65,66,87,89,86,79,78,70,67,85,81,80,85,80,82,88,90,85,88,89,81,67,61,0,69,59,59,78,64,59
Parejo,86,CM,50,83,90,80,71,68,52,49,83,81,88,72,88,90,86,90,92,90,88,63,72,79,86,81,85,80,61,70,70,69,49,76,70,58
Marcelo Brozović,86,CDM,69,74,81,81,81,78,70,68,69,80,84,65,69,83,73,74,85,84,79,79,84,83,84,79,82,84,70,0,84,82,70,94,68,86
Thiago Silva,86,CB,49,54,73,72,87,76,45,52,40,71,65,61,60,71,60,61,81,82,62,62,66,83,79,67,86,89,82,89,86,84,88,66,80,76
Riyad Mahrez,86,RW,80,83,81,90,38,60,84,77,84,84,83,76,80,83,81,78,83,75,85,92,88,83,90,91,83,39,56,45,31,22,56,75,57,48
Raheem Sterling,86,LW,90,80,78,86,45,67,94,86,82,78,80,67,70,80,79,72,83,67,79,94,93,91,84,86,77,30,46,0,53,47,57,79,65,59
Vinícius Jr.,86,LW,95,79,74,90,29,67,95,95,84,76,76,72,65,75,72,62,75,73,77,94,83,82,89,92,79,26,50,32,25,18,75,84,62,58
Milan Škriniar,86,CB,78,41,57,69,88,86,75,81,42,50,30,40,56,46,40,30,72,73,34,54,56,86,72,67,87,86,81,0,90,82,85,81,89,87
Aymeric Laporte,86,CB,61,50,72,69,86,79,55,65,45,68,47,40,44,65,58,69,83,81,61,57,55,87,78,63,84,87,84,86,87,86,80,67,84,81
Paulo Dybala,86,CF,80,85,85,90,40,59,84,76,83,84,89,88,84,91,82,88,86,79,89,88,90,79,93,90,79,42,58,32,41,39,74,68,60,43
David Alaba,86,CB,79,71,83,80,85,77,79,79,63,82,78,67,79,78,83,85,89,80,77,76,78,88,85,77,85,87,77,0,84,83,81,74,78,78
Bruno Fernandes,86,CAM,72,86,88,81,67,76,75,69,83,88,88,87,90,91,85,85,88,88,87,78,79,91,84,79,79,64,64,0,73,65,71,92,66,80
Kingsley Coman,86,LM,92,77,79,87,30,62,94,90,75,83,73,78,70,81,81,70,79,74,83,92,84,86,87,88,78,23,61,0,27,21,73,73,66,35
Thiago,86,CM,61,72,87,90,72,69,69,55,68,75,73,82,75,88,78,77,91,89,85,90,90,84,92,89,90,82,54,0,74,74,86,76,60,80
Nicolò Barella,86,CM,79,76,83,84,77,81,80,78,73,77,79,80,73,86,79,67,86,85,79,90,90,88,87,80,86,83,53,0,79,81,78,94,73,84
Sergej Milinković-Savić,86,CM,68,80,82,82,79,86,66,70,82,83,81,74,59,83,71,78,86,86,81,62,63,84,87,85,84,79,86,0,79,74,87,91,87,79
Lautaro Martínez,86,ST,83,83,72,85,48,84,86,80,88,80,76,90,74,80,58,54,76,73,78,86,89,89,86,84,86,45,84,55,31,44,89,80,84,90
Micky van de Ven,85,CB,84,50,76,79,85,89,74,92,43,56,59,55,45,62,79,46,84,88,50,74,65,88,82,79,88,82,89,81,86,90,79,79,97,82
Fran García,85,LB,91,57,80,81,84,80,92,91,49,73,62,45,45,73,88,44,88,73,80,88,97,72,78,81,70,86,68,78,93,89,77,99,71,80
Matthias Ginter,85,CB,64,62,75,70,87,83,58,68,59,84,49,57,72,76,72,44,82,82,46,58,52,90,80,65,81,86,85,88,89,81,81,79,88,76
Enner Valencia,85,ST,95,85,80,85,60,88,96,95,85,94,83,72,78,78,80,88,81,72,87,96,83,78,83,86,82,55,95,57,59,53,99,89,87,83
Pedro Porro,85,RWB,86,75,81,85,81,83,84,88,69,88,79,63,70,78,87,72,81,80,84,83,75,83,88,85,83,82,73,80,84,81,63,97,79,79
Lucas Torreira,85,CDM,78,75,81,85,83,81,83,74,73,86,79,70,51,79,76,77,87,81,75,90,95,84,85,82,87,85,63,86,85,81,54,96,72,93
André-Franck Zambo An...,85,CM,83,75,77,85,84,88,82,83,73,82,76,60,66,81,64,49,87,80,64,80,81,85,86,86,86,86,74,82,90,76,80,88,89,87
Marcus Rashford,85,LM,91,86,80,85,46,77,87,94,85,96,82,77,89,81,80,81,81,75,87,86,78,84,85,87,79,44,76,45,43,37,80,78,77,75
Florian Lejeune,85,CB,63,65,71,74,85,83,58,67,57,86,75,48,49,53,58,54,88,80,54,60,60,89,81,72,89,88,83,87,84,81,89,55,92,92
Jonathan David,85,ST,89,86,78,84,39,78,87,91,89,84,81,79,82,80,74,64,85,76,64,82,76,83,85,85,88,39,85,34,34,22,94,91,85,41
Rafa,85,RW,94,80,82,90,52,61,95,94,81,82,78,75,65,89,85,61,84,68,85,94,93,87,89,90,85,60,48,54,49,41,75,90,47,55
Davide Calabria,85,RB,87,60,80,80,85,80,88,86,51,72,75,63,51,71,88,55,85,80,85,88,88,84,79,77,84,83,67,92,86,82,79,90,71,88
Alexis Saelemaekers,85,RW,90,80,85,89,68,78,91,89,81,76,86,78,53,79,89,75,88,81,85,96,85,84,89,89,81,69,48,72,70,65,88,95,68,78
Cristhian Stuani,85,ST,85,90,80,83,56,92,84,86,91,93,85,83,99,81,80,67,85,76,78,76,71,88,85,83,90,42,96,52,57,49,99,87,96,84
Ryan Kent,85,LW,96,80,80,83,48,69,95,96,78,90,81,74,58,82,81,64,82,77,77,97,93,81,79,83,74,49,63,48,48,36,47,89,57,81
Tammy Abraham,85,ST,86,85,70,82,40,83,83,88,89,84,75,84,83,77,56,58,82,56,58,64,56,88,86,84,86,28,96,44,32,22,76,82,88,71
Fabian Schär,85,CB,61,75,79,76,87,84,60,62,67,86,82,68,84,76,73,74,84,84,74,60,69,87,82,75,87,88,89,86,88,84,87,73,89,84
Ismaël Bennacer,85,CDM,81,71,84,89,81,80,85,77,66,78,77,67,71,85,76,77,89,87,77,90,92,86,88,89,83,85,65,80,84,80,82,86,73,91
Makoto Hasebe,85,CB,78,61,81,79,86,80,49,55,46,56,53,57,62,68,65,63,77,78,62,64,70,79,77,63,84,80,64,82,74,66,62,53,62,61
Luquinhas,85,LM,91,81,82,87,47,69,92,90,82,86,79,80,63,89,72,75,89,71,84,99,99,80,83,86,85,53,68,39,48,43,47,91,68,48
Florian Neuhaus,85,CAM,77,80,85,85,71,72,72,82,80,82,88,69,58,87,73,59,90,91,83,84,83,84,85,85,80,77,55,72,72,69,58,87,70,64
Maximilian Arnold,85,CDM,75,85,84,83,82,80,73,76,80,94,92,89,61,84,74,87,85,88,89,72,71,86,86,83,84,85,63,84,85,80,65,86,78,82
Ricardo Horta,85,CAM,84,86,83,85,47,77,87,82,85,87,88,86,77,88,81,82,84,78,84,88,90,87,84,86,78,60,60,35,48,38,68,91,70,76
Loïs Openda,85,ST,98,85,78,85,37,86,99,98,90,85,77,75,86,82,82,52,85,68,62,91,91,85,83,84,82,23,92,41,27,21,99,87,85,81
Silas,85,ST,95,85,78,88,60,78,93,96,96,84,59,78,97,75,84,42,90,61,75,92,80,77,85,92,76,62,75,61,58,45,72,66,86,71
Ander Herrera,85,CM,77,79,83,85,84,81,82,72,76,85,80,78,82,86,77,69,86,86,85,80,82,89,87,84,89,99,98,None,99,99,67,86,76,90
Marcelino Moreno,85,CM,84,82,85,88,72,74,87,82,82,86,83,67,76,90,79,74,86,89,91,96,99,78,87,88,87,77,67,69,72,68,64,98,62,76
Noble Okello,85,CDM,83,76,80,84,82,86,76,89,71,88,78,60,86,91,50,57,92,91,57,74,51,72,88,88,84,81,91,82,82,79,80,72,99,76
Pedri,85,CM,79,67,81,87,68,73,82,76,69,67,68,57,54,88,68,62,87,85,79,88,90,85,88,87,87,72,50,68,73,63,65,88,70,62
Hernâni,85,RM,90,84,81,86,35,70,90,90,78,98,83,87,94,81,84,89,77,76,95,97,87,70,79,90,78,25,66,46,23,28,72,74,69,65
Ismaily,85,LB,89,70,80,84,83,83,91,87,66,82,71,60,56,77,86,54,88,72,70,76,86,83,85,85,83,89,65,84,83,81,71,94,84,70
Jonathan Clauss,85,RWB,89,75,99,83,77,77,90,88,74,84,74,61,57,99,99,99,99,99,99,88,74,83,83,82,81,77,65,75,84,80,68,97,69,74
Reinier,85,CAM,85,84,83,86,45,75,90,81,84,89,76,88,81,83,75,71,93,74,93,88,80,76,85,88,84,32,62,44,49,42,62,76,77,69
Daniele Verde,85,RW,90,84,99,85,39,55,90,90,80,95,91,67,80,99,99,99,96,89,99,96,99,77,84,84,76,26,50,44,40,38,45,79,39,69
Ritsu Doan,85,RM,90,80,83,90,47,66,92,89,79,86,85,66,65,88,82,76,85,78,84,96,99,83,89,89,82,52,53,46,42,49,38,87,66,46
Raphaël Guerreiro,85,LB,85,80,91,90,82,73,95,77,80,81,83,82,56,90,91,87,93,90,90,93,93,89,90,90,89,91,48,86,82,83,69,98,66,60
Ao Tanaka,85,CDM,81,78,82,84,82,83,88,76,78,84,79,66,66,81,74,78,87,87,76,98,92,82,84,79,82,81,63,84,87,80,76,94,77,84
Jawad El Yamiq,85,CB,88,57,60,69,81,87,86,89,48,80,62,36,49,43,44,37,75,82,42,77,62,81,68,67,76,84,83,80,82,77,98,82,91,80
Thilo Kehrer,85,CB,84,50,77,78,85,87,81,86,42,74,45,36,47,70,76,45,86,78,64,79,76,86,78,76,82,85,82,84,87,88,96,81,89,87
Mikkel Damsgaard,85,LM,93,80,85,90,55,71,99,87,82,84,85,56,55,91,75,98,87,84,79,99,97,76,89,91,82,52,58,60,53,46,82,81,64,73
Daniel James,85,ST,98,85,78,84,54,77,99,98,86,90,84,70,78,77,81,61,83,66,84,92,91,83,84,82,74,48,57,62,52,39,84,95,61,89
Axel Witsel,85,CDM,78,70,85,83,86,82,76,78,69,71,63,83,84,81,73,69,96,87,76,71,74,86,86,83,97,99,99,None,99,99,89,76,85,79
Lovro Majer,85,CM,82,84,86,88,70,72,90,75,82,87,83,77,90,86,84,82,87,84,91,89,73,84,90,90,83,99,90,None,99,94,62,84,70,68
Piotr Zieliński,85,CAM,83,80,83,88,73,64,85,81,79,83,87,79,54,86,75,67,87,83,82,88,82,84,90,90,78,99,77,None,99,99,54,82,59,58
Gonzalo Montiel,85,RB,90,66,76,81,81,86,91,90,62,72,65,45,82,76,80,42,80,72,64,89,81,82,80,79,81,99,99,None,99,99,85,99,76,92
Christian Eriksen,85,CAM,77,84,92,87,57,61,80,76,79,90,92,86,72,90,90,91,93,94,93,74,85,86,97,84,95,89,82,None,90,35,57,69,61,54
Walker Zimmerman,85,CB,79,60,65,68,84,88,69,86,62,68,48,59,67,52,46,45,82,80,39,60,62,94,78,58,91,82,89,85,86,77,89,83,91,87
Mateo Kovačić,85,CM,78,77,84,89,76,76,86,72,68,88,84,85,66,87,74,71,91,85,80,87,85,83,90,90,85,99,65,None,99,99,80,85,70,82
Leandro Trossard,85,LM,88,84,83,87,37,70,96,82,84,84,85,80,81,83,84,75,84,81,90,99,91,77,84,87,88,32,99,None,55,32,88,84,68,53
Jesús Corona,85,RW,86,80,83,90,74,71,87,86,75,81,81,91,84,86,85,70,86,73,84,92,95,85,90,89,90,99,99,None,99,99,75,87,60,77
William Carvalho,85,CDM,76,73,82,80,82,89,72,78,72,80,75,56,67,84,72,53,87,86,85,47,42,78,88,84,94,99,99,None,99,99,74,85,94,83
José María Giménez,85,CB,75,48,59,63,87,86,74,75,39,76,50,34,40,48,49,46,72,69,37,55,59,82,69,57,79,99,99,None,99,99,93,73,89,91
Salem Al Dawsari,85,LW,91,80,77,88,60,86,90,91,80,78,83,83,73,81,77,67,77,74,75,88,92,81,85,90,83,91,99,None,75,93,48,96,84,88
Borna Sosa,85,LB,88,60,85,85,81,80,87,88,46,79,74,50,35,86,97,61,82,79,87,80,74,86,86,86,82,99,99,None,99,99,77,89,78,74
Ellyes Skhiri,85,CDM,75,78,77,81,86,81,72,77,79,81,78,65,63,73,73,60,84,77,78,80,69,84,83,80,81,99,99,None,99,99,82,98,72,83
Sardar Azmoun,85,ST,84,82,75,83,45,79,85,83,87,82,75,84,59,80,69,54,83,68,76,82,81,86,86,81,84,55,99,None,53,51,97,74,83,73
Davy Klaassen,85,CAM,77,85,79,83,81,85,76,78,87,86,79,87,81,83,72,57,84,81,65,71,74,87,87,82,90,99,99,None,99,99,76,97,80,86
Abdou Diallo,85,CB,78,47,78,80,85,84,76,80,46,61,29,47,49,76,75,35,86,83,64,77,76,82,82,78,84,99,99,None,99,99,93,81,85,85
Nikola Vlašić,85,LM,90,83,82,88,54,78,89,90,81,87,88,78,72,84,78,79,85,81,77,85,96,83,87,89,84,45,99,0,91,64,62,78,79,77
Lee Jae Sung,85,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerard Moreno,85,ST,78,86,77,83,46,72,78,78,89,83,82,81,85,78,77,62,79,75,77,77,72,85,84,85,80,59,99,0,57,57,79,77,74,61
Gonzalo Plata,85,RM,94,80,81,87,47,76,96,93,80,84,79,84,71,84,81,61,87,67,89,95,87,80,87,87,82,63,69,0,72,60,61,72,81,72
Filip Kostić,85,LM,84,78,82,82,68,80,87,82,76,86,78,75,66,81,92,80,80,77,83,76,79,82,82,84,82,91,85,0,99,98,67,90,77,80
Cyle Larin,85,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İlkay Gündoğan,85,CM,64,80,85,85,72,72,66,63,81,79,81,75,80,86,78,80,88,85,86,77,77,86,90,85,87,99,73,0,99,98,61,74,73,70
Sergio Busquets,85,CDM,42,62,79,79,82,73,40,43,67,61,54,50,60,83,62,68,87,85,66,66,50,81,85,80,90,99,98,0,99,99,66,75,70,79
Marco Reus,85,CAM,70,84,84,85,53,65,75,66,84,86,81,87,79,86,84,85,85,79,88,83,81,86,86,86,86,82,65,0,69,87,68,72,66,51
Munir,85,LW,90,84,83,86,39,76,94,86,85,84,83,86,71,85,82,75,90,70,91,87,84,82,87,86,84,42,99,0,46,42,78,83,76,69
Jonathan Osorio,85,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim Min Jae,85,CB,84,37,66,70,84,88,79,88,26,56,41,27,34,66,41,27,83,78,42,72,73,86,75,64,76,99,99,0,99,99,84,81,92,86
Tajon Buchanan,85,RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Pogba,85,CM,67,80,85,85,62,80,60,72,74,90,84,84,80,90,73,82,87,92,85,71,65,77,87,89,85,84,99,0,90,85,80,65,88,79
Pedri,85,CM,79,67,81,87,68,73,82,76,69,67,68,57,54,88,68,62,87,85,79,88,90,85,88,87,87,99,71,0,99,89,65,88,70,62
Bartosz Bereszyński,85,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yannick Carrasco,85,LM,89,82,80,87,53,67,89,89,81,85,82,74,81,80,81,80,80,74,87,87,71,81,86,90,84,62,70,0,85,80,71,79,61,65
Niklas Süle,85,CB,71,48,66,59,85,83,60,80,30,78,62,46,32,66,48,38,79,77,33,34,44,82,64,57,82,99,99,0,99,99,60,65,94,86
Jordi Alba,85,LB,84,70,82,82,77,70,86,83,73,64,66,75,59,78,86,63,86,81,82,87,84,79,84,79,80,99,99,0,99,99,80,83,61,75
Kieffer Moore,85,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
