name,rating,position,overall_pace,overall_shoot,overall_passing,overall_dribbling,overall_defending,overall_physical,acceleration,sprint_speed,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kicks,short_passing,long_passing,curve,agility,balance,reactions,ball_controll,dribbling,composure,interceptions,heading,standing_tackle,sliding_tackle,jumping,stamina,strength,agression
Gerd Müller,89.0,ST,89.0,90.0,72.0,85.0,40.0,75.0,94.0,85.0,94.0,90.0,80.0,90.0,84.0,76.0,64.0,73.0,77.0,62.0,76.0,88.0,94.0,92.0,87.0,80.0,87.0,35.0,91.0,33.0,28.0,91.0,83.0,73.0,64.0
Johan Cruyff,89.0,CF,92.0,87.0,85.0,92.0,40.0,70.0,94.0,90.0,89.0,80.0,88.0,90.0,85.0,88.0,82.0,80.0,86.0,82.0,88.0,95.0,78.0,90.0,94.0,92.0,89.0,42.0,58.0,35.0,38.0,64.0,79.0,66.0,68.0
Roberto Baggio,89.0,CF,82.0,83.0,90.0,90.0,41.0,61.0,84.0,80.0,86.0,73.0,84.0,84.0,84.0,93.0,87.0,88.0,92.0,87.0,92.0,79.0,78.0,85.0,93.0,92.0,88.0,40.0,73.0,35.0,32.0,63.0,70.0,63.0,42.0
Ronaldinho,89.0,CAM,80.0,85.0,88.0,90.0,38.0,77.0,81.0,80.0,85.0,83.0,86.0,80.0,88.0,91.0,89.0,88.0,87.0,82.0,88.0,85.0,84.0,91.0,92.0,91.0,93.0,25.0,50.0,42.0,32.0,72.0,75.0,82.0,68.0
Harry Kane,89.0,ST,68.0,91.0,83.0,82.0,47.0,82.0,67.0,69.0,93.0,92.0,86.0,87.0,92.0,87.0,80.0,65.0,84.0,85.0,82.0,68.0,71.0,92.0,84.0,83.0,92.0,44.0,85.0,36.0,38.0,79.0,83.0,83.0,80.0
Heung Min Son,89.0,LW,88.0,89.0,82.0,86.0,42.0,69.0,85.0,90.0,91.0,88.0,89.0,79.0,73.0,84.0,83.0,74.0,84.0,74.0,85.0,85.0,76.0,91.0,84.0,87.0,89.0,39.0,68.0,34.0,33.0,59.0,87.0,63.0,61.0
Neymar Jr,89.0,LW,87.0,83.0,85.0,93.0,37.0,61.0,88.0,86.0,83.0,79.0,81.0,86.0,91.0,89.0,84.0,87.0,85.0,81.0,88.0,93.0,82.0,88.0,94.0,95.0,93.0,37.0,63.0,32.0,29.0,62.0,79.0,52.0,63.0
Joshua Kimmich,89.0,CDM,68.0,72.0,87.0,84.0,83.0,79.0,77.0,60.0,68.0,78.0,83.0,69.0,44.0,85.0,91.0,69.0,87.0,90.0,85.0,84.0,84.0,88.0,85.0,82.0,85.0,84.0,72.0,85.0,78.0,79.0,94.0,68.0,89.0
N'Golo Kanté,89.0,CDM,72.0,66.0,74.0,81.0,87.0,82.0,77.0,68.0,65.0,71.0,65.0,56.0,54.0,77.0,68.0,49.0,82.0,76.0,49.0,78.0,92.0,93.0,81.0,78.0,84.0,91.0,54.0,93.0,86.0,75.0,95.0,72.0,93.0
Sadio Mané,89.0,LM,90.0,83.0,80.0,88.0,44.0,77.0,91.0,90.0,86.0,83.0,78.0,75.0,75.0,84.0,78.0,64.0,84.0,71.0,77.0,93.0,88.0,91.0,86.0,88.0,84.0,35.0,84.0,42.0,38.0,87.0,85.0,72.0,75.0
Casemiro,89.0,CDM,63.0,73.0,75.0,72.0,87.0,90.0,60.0,66.0,64.0,88.0,81.0,62.0,66.0,75.0,58.0,74.0,84.0,83.0,62.0,61.0,66.0,87.0,78.0,67.0,84.0,88.0,79.0,88.0,87.0,85.0,90.0,90.0,91.0
Vanderson,88.0,RW,92.0,84.0,86.0,88.0,70.0,77.0,93.0,92.0,85.0,84.0,80.0,83.0,66.0,86.0,89.0,84.0,88.0,78.0,80.0,89.0,87.0,87.0,88.0,89.0,84.0,68.0,69.0,72.0,70.0,62.0,84.0,75.0,79.0
Vanderson,88.0,RB,91.0,70.0,80.0,77.0,84.0,88.0,92.0,91.0,71.0,70.0,67.0,69.0,55.0,80.0,83.0,78.0,82.0,72.0,75.0,78.0,76.0,76.0,77.0,78.0,74.0,82.0,83.0,86.0,84.0,71.0,96.0,85.0,91.0
Anthony Elanga,88.0,RW,92.0,85.0,84.0,88.0,43.0,68.0,94.0,90.0,90.0,82.0,81.0,80.0,72.0,85.0,88.0,80.0,89.0,59.0,92.0,97.0,90.0,84.0,86.0,89.0,81.0,35.0,76.0,43.0,37.0,99.0,89.0,62.0,50.0
Mohammed Kudus,88.0,CAM,93.0,81.0,84.0,88.0,75.0,85.0,94.0,93.0,82.0,86.0,76.0,78.0,73.0,90.0,71.0,58.0,90.0,88.0,77.0,94.0,99.0,77.0,88.0,88.0,81.0,75.0,66.0,84.0,58.0,88.0,88.0,86.0,78.0
Marc Guéhi,88.0,CB,82.0,44.0,71.0,79.0,89.0,85.0,76.0,88.0,47.0,55.0,29.0,36.0,43.0,66.0,43.0,39.0,91.0,89.0,51.0,78.0,76.0,93.0,81.0,76.0,86.0,89.0,86.0,89.0,88.0,79.0,79.0,90.0,83.0
Jesper Lindstrøm,88.0,CAM,94.0,84.0,83.0,88.0,62.0,78.0,95.0,94.0,88.0,86.0,84.0,70.0,58.0,89.0,75.0,69.0,88.0,81.0,75.0,94.0,93.0,78.0,87.0,89.0,80.0,52.0,57.0,74.0,63.0,64.0,92.0,68.0,87.0
Alexander Sørloth,88.0,ST,92.0,87.0,83.0,87.0,46.0,94.0,84.0,99.0,86.0,96.0,82.0,81.0,82.0,87.0,83.0,75.0,86.0,74.0,93.0,65.0,66.0,87.0,89.0,91.0,95.0,46.0,99.0,29.0,27.0,73.0,92.0,99.0,83.0
Seko Fofana,88.0,CM,84.0,78.0,82.0,86.0,84.0,91.0,84.0,84.0,75.0,87.0,83.0,72.0,59.0,86.0,68.0,68.0,90.0,84.0,79.0,74.0,72.0,88.0,88.0,87.0,88.0,91.0,67.0,92.0,82.0,66.0,97.0,93.0,85.0
Jonas Hofmann,88.0,CAM,83.0,85.0,87.0,88.0,72.0,82.0,85.0,82.0,88.0,83.0,83.0,72.0,79.0,88.0,87.0,77.0,88.0,88.0,84.0,87.0,86.0,91.0,88.0,87.0,89.0,84.0,54.0,64.0,64.0,69.0,98.0,75.0,80.0
Stephy Mavididi,88.0,LM,95.0,87.0,81.0,88.0,40.0,80.0,95.0,95.0,88.0,92.0,86.0,79.0,68.0,81.0,83.0,66.0,85.0,79.0,73.0,85.0,81.0,82.0,87.0,90.0,82.0,34.0,99.0,26.0,29.0,86.0,85.0,87.0,56.0
Dani Olmo,88.0,CAM,77.0,85.0,88.0,92.0,60.0,70.0,88.0,67.0,83.0,88.0,86.0,85.0,74.0,90.0,85.0,81.0,91.0,86.0,78.0,92.0,92.0,89.0,92.0,92.0,88.0,68.0,52.0,60.0,53.0,64.0,93.0,63.0,60.0
Lautaro Martínez,88.0,ST,85.0,87.0,75.0,88.0,50.0,86.0,88.0,82.0,92.0,84.0,80.0,94.0,78.0,83.0,60.0,56.0,79.0,76.0,81.0,89.0,92.0,92.0,89.0,87.0,89.0,47.0,88.0,32.0,46.0,91.0,82.0,86.0,92.0
Jorginho,88.0,CM,83.0,76.0,92.0,88.0,84.0,84.0,97.0,72.0,73.0,81.0,70.0,81.0,99.0,94.0,80.0,81.0,98.0,95.0,80.0,81.0,78.0,89.0,95.0,86.0,91.0,93.0,64.0,93.0,82.0,67.0,99.0,76.0,91.0
Coutinho,88.0,CAM,80.0,85.0,86.0,91.0,56.0,65.0,95.0,68.0,81.0,88.0,93.0,84.0,75.0,88.0,84.0,92.0,86.0,83.0,97.0,94.0,95.0,83.0,92.0,92.0,82.0,53.0,52.0,58.0,51.0,64.0,82.0,57.0,65.0
Rafael Santos Borré,88.0,ST,87.0,87.0,84.0,89.0,60.0,86.0,94.0,81.0,87.0,93.0,84.0,84.0,81.0,89.0,81.0,76.0,87.0,78.0,89.0,95.0,91.0,89.0,88.0,88.0,91.0,55.0,99.0,60.0,39.0,91.0,96.0,76.0,97.0
Alphonso Davies,88.0,LB,97.0,70.0,84.0,88.0,80.0,82.0,99.0,96.0,68.0,78.0,67.0,63.0,64.0,84.0,93.0,48.0,89.0,73.0,79.0,89.0,87.0,87.0,87.0,90.0,81.0,82.0,76.0,81.0,75.0,83.0,86.0,80.0,82.0
Nabil Fekir,88.0,CAM,87.0,87.0,88.0,87.0,41.0,85.0,92.0,83.0,88.0,89.0,88.0,82.0,79.0,93.0,87.0,85.0,89.0,83.0,89.0,85.0,91.0,81.0,86.0,89.0,89.0,37.0,53.0,45.0,32.0,68.0,85.0,86.0,84.0
Nicolás Otamendi,88.0,CB,80.0,63.0,70.0,69.0,90.0,87.0,76.0,83.0,60.0,76.0,62.0,63.0,50.0,60.0,59.0,44.0,82.0,79.0,56.0,68.0,68.0,92.0,77.0,60.0,92.0,91.0,86.0,90.0,87.0,97.0,81.0,86.0,97.0
Matthijs de Ligt,88.0,CB,80.0,62.0,65.0,73.0,88.0,90.0,75.0,85.0,53.0,86.0,69.0,47.0,42.0,48.0,55.0,59.0,80.0,71.0,51.0,63.0,66.0,89.0,77.0,69.0,87.0,99.0,99.0,99.0,99.0,97.0,78.0,97.0,87.0
Ivan Rakitić,88.0,CF,76.0,84.0,90.0,82.0,80.0,72.0,79.0,75.0,81.0,89.0,83.0,85.0,86.0,89.0,88.0,86.0,91.0,90.0,92.0,71.0,61.0,84.0,88.0,83.0,84.0,84.0,63.0,83.0,79.0,35.0,77.0,74.0,71.0
Riyad Mahrez,88.0,RM,84.0,85.0,84.0,92.0,40.0,64.0,88.0,81.0,86.0,86.0,85.0,78.0,82.0,86.0,84.0,81.0,86.0,78.0,88.0,94.0,90.0,85.0,92.0,93.0,85.0,41.0,59.0,33.0,23.0,60.0,80.0,61.0,51.0
Stephan El Shaarawy,88.0,CF,93.0,84.0,84.0,88.0,57.0,77.0,93.0,93.0,83.0,83.0,86.0,94.0,78.0,89.0,85.0,77.0,85.0,75.0,96.0,99.0,90.0,82.0,87.0,87.0,85.0,45.0,81.0,46.0,43.0,87.0,80.0,80.0,64.0
İlkay Gündoğan,88.0,CM,78.0,84.0,88.0,88.0,78.0,78.0,80.0,77.0,85.0,83.0,85.0,79.0,84.0,89.0,81.0,83.0,91.0,88.0,89.0,80.0,80.0,89.0,93.0,88.0,90.0,81.0,54.0,81.0,73.0,66.0,80.0,79.0,76.0
Edin Džeko,88.0,ST,71.0,88.0,75.0,83.0,49.0,80.0,69.0,73.0,91.0,90.0,81.0,83.0,70.0,78.0,67.0,57.0,80.0,80.0,69.0,67.0,59.0,89.0,91.0,83.0,94.0,54.0,93.0,30.0,17.0,68.0,74.0,92.0,62.0
Paulo Dybala,88.0,CF,83.0,87.0,87.0,92.0,42.0,64.0,87.0,79.0,85.0,86.0,91.0,90.0,86.0,93.0,84.0,90.0,88.0,81.0,91.0,90.0,92.0,81.0,95.0,92.0,81.0,44.0,61.0,43.0,41.0,80.0,74.0,65.0,47.0
Thiago Silva,88.0,CB,53.0,56.0,75.0,74.0,89.0,80.0,49.0,56.0,41.0,74.0,67.0,63.0,62.0,73.0,62.0,63.0,83.0,84.0,64.0,64.0,68.0,85.0,81.0,69.0,88.0,91.0,84.0,88.0,86.0,93.0,69.0,84.0,80.0
Parejo,88.0,CM,54.0,85.0,92.0,83.0,73.0,71.0,56.0,53.0,85.0,83.0,90.0,74.0,90.0,92.0,88.0,92.0,94.0,92.0,90.0,65.0,75.0,82.0,89.0,84.0,88.0,82.0,63.0,72.0,71.0,51.0,79.0,73.0,61.0
Martin Terrier,88.0,LW,93.0,88.0,84.0,86.0,43.0,80.0,92.0,94.0,91.0,86.0,87.0,84.0,79.0,86.0,82.0,65.0,87.0,81.0,86.0,80.0,77.0,86.0,88.0,87.0,85.0,32.0,90.0,37.0,41.0,82.0,83.0,86.0,63.0
Jordi Alba,88.0,LB,87.0,73.0,85.0,85.0,80.0,76.0,89.0,86.0,76.0,67.0,69.0,78.0,62.0,81.0,89.0,65.0,89.0,84.0,85.0,90.0,87.0,82.0,87.0,82.0,83.0,83.0,73.0,81.0,82.0,87.0,90.0,66.0,81.0
Jamie Vardy,88.0,ST,88.0,88.0,76.0,83.0,55.0,75.0,89.0,88.0,94.0,91.0,68.0,89.0,89.0,80.0,75.0,66.0,80.0,65.0,75.0,78.0,79.0,92.0,87.0,80.0,90.0,52.0,82.0,55.0,57.0,83.0,76.0,68.0,90.0
Matteo Politano,88.0,ST,92.0,86.0,85.0,91.0,49.0,62.0,93.0,91.0,85.0,87.0,92.0,84.0,78.0,84.0,87.0,84.0,86.0,83.0,86.0,96.0,95.0,88.0,91.0,90.0,86.0,44.0,47.0,34.0,34.0,56.0,87.0,46.0,71.0
Martin Ødegaard,88.0,CM,85.0,82.0,90.0,88.0,62.0,67.0,87.0,84.0,82.0,83.0,84.0,83.0,69.0,90.0,88.0,89.0,92.0,88.0,87.0,89.0,87.0,78.0,89.0,89.0,82.0,69.0,56.0,52.0,55.0,49.0,84.0,60.0,67.0
Raphaël Varane,88.0,CB,85.0,53.0,68.0,72.0,89.0,85.0,81.0,88.0,50.0,56.0,57.0,45.0,47.0,63.0,45.0,55.0,83.0,82.0,49.0,68.0,43.0,89.0,82.0,67.0,89.0,88.0,89.0,90.0,87.0,85.0,71.0,92.0,83.0
Fikayo Tomori,88.0,CB,88.0,45.0,65.0,71.0,88.0,85.0,82.0,92.0,37.0,63.0,51.0,36.0,30.0,52.0,61.0,43.0,79.0,70.0,41.0,80.0,76.0,90.0,71.0,66.0,87.0,87.0,85.0,91.0,84.0,87.0,77.0,88.0,87.0
Cody Gakpo,88.0,ST,91.0,88.0,84.0,90.0,46.0,82.0,90.0,91.0,88.0,92.0,89.0,80.0,73.0,86.0,91.0,83.0,83.0,74.0,85.0,87.0,76.0,87.0,90.0,92.0,84.0,44.0,67.0,43.0,31.0,83.0,88.0,85.0,66.0
Diogo Dalot,88.0,RB,89.0,73.0,85.0,88.0,85.0,87.0,89.0,89.0,63.0,95.0,78.0,54.0,52.0,82.0,90.0,51.0,91.0,79.0,93.0,87.0,80.0,85.0,87.0,91.0,85.0,86.0,82.0,88.0,87.0,96.0,88.0,85.0,90.0
Diogo Dalot,88.0,RB,89.0,73.0,85.0,88.0,85.0,87.0,89.0,89.0,63.0,95.0,78.0,54.0,52.0,82.0,90.0,51.0,91.0,79.0,93.0,87.0,80.0,85.0,87.0,91.0,85.0,86.0,82.0,88.0,87.0,96.0,88.0,85.0,90.0
Thiago Silva,88.0,CB,77.0,56.0,77.0,76.0,90.0,83.0,71.0,82.0,41.0,74.0,67.0,63.0,62.0,75.0,63.0,64.0,85.0,86.0,65.0,65.0,70.0,88.0,83.0,71.0,91.0,92.0,85.0,89.0,87.0,96.0,72.0,87.0,83.0
Dušan Vlahović,88.0,ST,86.0,90.0,73.0,88.0,32.0,85.0,83.0,88.0,93.0,89.0,87.0,83.0,77.0,75.0,63.0,65.0,81.0,65.0,76.0,69.0,59.0,96.0,96.0,90.0,90.0,26.0,85.0,29.0,26.0,73.0,85.0,95.0,65.0
Youri Tielemans,88.0,CDM,73.0,83.0,89.0,84.0,82.0,78.0,76.0,70.0,77.0,90.0,90.0,82.0,80.0,90.0,85.0,81.0,92.0,91.0,87.0,69.0,80.0,87.0,88.0,84.0,88.0,83.0,78.0,86.0,80.0,73.0,91.0,74.0,74.0
Davor Šuker,88.0,ST,86.0,91.0,81.0,90.0,44.0,76.0,85.0,86.0,93.0,90.0,89.0,94.0,90.0,82.0,76.0,88.0,85.0,69.0,92.0,89.0,88.0,86.0,90.0,92.0,89.0,43.0,88.0,38.0,31.0,84.0,87.0,72.0,70.0
Éder Militão,88.0,CB,87.0,52.0,75.0,76.0,88.0,86.0,84.0,89.0,50.0,64.0,44.0,35.0,62.0,63.0,74.0,43.0,85.0,81.0,64.0,74.0,65.0,90.0,78.0,74.0,78.0,89.0,85.0,89.0,87.0,89.0,90.0,83.0,88.0
Bukayo Saka,88.0,RM,91.0,83.0,83.0,88.0,68.0,75.0,94.0,89.0,86.0,81.0,77.0,79.0,79.0,86.0,86.0,73.0,85.0,69.0,85.0,88.0,88.0,87.0,87.0,89.0,84.0,70.0,46.0,71.0,69.0,62.0,92.0,67.0,76.0
Richarlison,88.0,ST,89.0,87.0,80.0,88.0,61.0,86.0,92.0,86.0,89.0,91.0,79.0,81.0,85.0,82.0,81.0,72.0,86.0,68.0,82.0,85.0,76.0,86.0,88.0,90.0,87.0,70.0,99.0,88.0,73.0,94.0,88.0,83.0,91.0
Leroy Sané,88.0,CAM,92.0,87.0,85.0,89.0,42.0,72.0,93.0,92.0,86.0,92.0,86.0,90.0,76.0,86.0,87.0,88.0,87.0,74.0,89.0,91.0,85.0,86.0,89.0,90.0,86.0,53.0,99.0,50.0,54.0,70.0,76.0,72.0,69.0
Edinson Cavani,88.0,ST,87.0,90.0,75.0,88.0,58.0,83.0,83.0,90.0,92.0,93.0,79.0,93.0,91.0,80.0,72.0,82.0,79.0,58.0,84.0,77.0,70.0,99.0,93.0,86.0,99.0,61.0,97.0,55.0,45.0,99.0,66.0,85.0,92.0
Dani Alves,88.0,RB,90.0,78.0,89.0,86.0,85.0,82.0,93.0,87.0,69.0,90.0,84.0,74.0,77.0,86.0,87.0,80.0,93.0,88.0,91.0,87.0,88.0,81.0,86.0,85.0,90.0,86.0,71.0,86.0,87.0,94.0,90.0,67.0,99.0
Marcus Rashford,88.0,LW,92.0,87.0,82.0,86.0,50.0,81.0,88.0,95.0,86.0,98.0,83.0,77.0,90.0,83.0,82.0,83.0,83.0,77.0,90.0,87.0,79.0,85.0,86.0,88.0,80.0,67.0,99.0,66.0,57.0,84.0,82.0,81.0,79.0
Luis Hernández,88.0,ST,92.0,88.0,73.0,88.0,48.0,69.0,93.0,91.0,90.0,85.0,87.0,84.0,90.0,73.0,68.0,80.0,75.0,71.0,76.0,95.0,83.0,87.0,86.0,89.0,84.0,39.0,88.0,46.0,51.0,89.0,79.0,65.0,60.0
Gianluca Zambrotta,88.0,RB,89.0,71.0,83.0,83.0,87.0,86.0,88.0,90.0,65.0,80.0,76.0,67.0,69.0,79.0,89.0,58.0,85.0,81.0,83.0,78.0,72.0,83.0,85.0,84.0,81.0,89.0,83.0,89.0,87.0,80.0,92.0,83.0,87.0
Sergio Busquets,88.0,CDM,77.0,80.0,86.0,87.0,88.0,83.0,73.0,79.0,86.0,79.0,70.0,65.0,77.0,90.0,67.0,74.0,95.0,93.0,72.0,73.0,55.0,89.0,94.0,88.0,99.0,99.0,99.0,99.0,99.0,75.0,85.0,80.0,90.0
Georginio Wijnaldum,88.0,CM,78.0,80.0,85.0,88.0,85.0,86.0,79.0,78.0,79.0,82.0,79.0,75.0,83.0,87.0,78.0,81.0,88.0,87.0,86.0,90.0,97.0,86.0,89.0,87.0,88.0,99.0,99.0,99.0,99.0,88.0,98.0,80.0,83.0
Gonzalo Higuaín,88.0,ST,87.0,89.0,80.0,85.0,34.0,82.0,85.0,87.0,87.0,96.0,89.0,84.0,79.0,83.0,73.0,78.0,83.0,73.0,83.0,59.0,66.0,89.0,91.0,89.0,92.0,22.0,90.0,24.0,19.0,92.0,55.0,99.0,64.0
Marcelo Brozović,88.0,CDM,75.0,80.0,85.0,85.0,86.0,81.0,76.0,74.0,75.0,86.0,91.0,70.0,75.0,87.0,77.0,78.0,89.0,88.0,83.0,83.0,88.0,87.0,88.0,83.0,86.0,99.0,99.0,99.0,99.0,73.0,98.0,71.0,89.0
Alejandro Gómez,88.0,CAM,90.0,82.0,87.0,90.0,43.0,59.0,94.0,87.0,81.0,83.0,86.0,76.0,76.0,89.0,87.0,83.0,87.0,82.0,89.0,96.0,98.0,85.0,90.0,89.0,90.0,72.0,68.0,54.0,61.0,73.0,78.0,48.0,61.0
João Cancelo,88.0,LB,85.0,73.0,85.0,85.0,81.0,73.0,86.0,84.0,69.0,80.0,79.0,62.0,52.0,85.0,88.0,69.0,88.0,79.0,87.0,79.0,78.0,85.0,87.0,86.0,86.0,99.0,99.0,99.0,99.0,72.0,91.0,62.0,76.0
Rúben Dias,88.0,CB,63.0,39.0,66.0,68.0,88.0,88.0,58.0,68.0,29.0,74.0,26.0,32.0,45.0,51.0,54.0,48.0,82.0,76.0,46.0,60.0,56.0,89.0,74.0,64.0,81.0,99.0,99.0,99.0,99.0,78.0,83.0,89.0,92.0
Vinícius Jr.,88.0,LW,96.0,83.0,77.0,91.0,30.0,70.0,96.0,96.0,88.0,80.0,80.0,76.0,68.0,78.0,75.0,65.0,78.0,76.0,80.0,95.0,84.0,83.0,90.0,93.0,80.0,39.0,75.0,38.0,27.0,78.0,88.0,65.0,61.0
Frenkie de Jong,88.0,CM,84.0,70.0,88.0,88.0,78.0,82.0,82.0,85.0,73.0,69.0,67.0,71.0,54.0,90.0,80.0,65.0,93.0,91.0,86.0,88.0,80.0,89.0,90.0,88.0,91.0,99.0,99.0,99.0,99.0,80.0,94.0,78.0,78.0
Marquinhos,88.0,CB,79.0,56.0,75.0,74.0,89.0,80.0,77.0,81.0,59.0,65.0,45.0,35.0,52.0,76.0,68.0,32.0,84.0,85.0,58.0,68.0,66.0,88.0,79.0,69.0,86.0,89.0,88.0,89.0,89.0,92.0,82.0,78.0,81.0
Eden Hazard,88.0,LW,88.0,84.0,86.0,90.0,40.0,75.0,89.0,87.0,83.0,87.0,82.0,87.0,93.0,88.0,81.0,83.0,89.0,85.0,87.0,88.0,92.0,80.0,90.0,92.0,91.0,66.0,98.0,43.0,35.0,65.0,88.0,73.0,64.0
Luka Modrić,88.0,CM,73.0,76.0,89.0,88.0,72.0,66.0,76.0,70.0,72.0,79.0,82.0,76.0,82.0,90.0,86.0,78.0,91.0,92.0,85.0,91.0,92.0,88.0,90.0,85.0,92.0,99.0,78.0,99.0,99.0,67.0,83.0,58.0,62.0
Filip Kostić,88.0,LM,90.0,83.0,87.0,86.0,75.0,85.0,93.0,88.0,81.0,92.0,83.0,80.0,70.0,86.0,98.0,85.0,85.0,82.0,88.0,80.0,83.0,86.0,86.0,88.0,86.0,99.0,94.0,99.0,99.0,71.0,96.0,82.0,85.0
Bernardo Silva,88.0,CAM,77.0,78.0,84.0,92.0,61.0,68.0,84.0,71.0,79.0,79.0,78.0,78.0,68.0,85.0,85.0,67.0,89.0,77.0,85.0,94.0,92.0,87.0,91.0,92.0,90.0,83.0,71.0,98.0,73.0,51.0,93.0,54.0,75.0
Mason Mount,88.0,CAM,85.0,87.0,89.0,86.0,60.0,77.0,87.0,83.0,87.0,87.0,89.0,81.0,74.0,87.0,87.0,88.0,91.0,88.0,86.0,81.0,80.0,88.0,89.0,86.0,88.0,91.0,91.0,88.0,63.0,62.0,99.0,67.0,78.0
Romelu Lukaku,88.0,ST,87.0,88.0,78.0,83.0,40.0,86.0,78.0,94.0,91.0,90.0,78.0,82.0,91.0,78.0,76.0,69.0,81.0,73.0,81.0,64.0,56.0,93.0,84.0,88.0,88.0,37.0,99.0,57.0,41.0,78.0,70.0,99.0,74.0
David Alaba,88.0,CB,81.0,66.0,85.0,83.0,87.0,87.0,81.0,81.0,59.0,76.0,73.0,62.0,73.0,80.0,85.0,87.0,91.0,82.0,79.0,79.0,81.0,91.0,88.0,80.0,88.0,99.0,99.0,99.0,99.0,92.0,84.0,88.0,88.0
Edin Džeko,88.0,ST,89.0,88.0,68.0,83.0,48.0,82.0,86.0,92.0,91.0,90.0,81.0,83.0,70.0,71.0,60.0,52.0,73.0,73.0,62.0,67.0,59.0,89.0,91.0,83.0,94.0,83.0,99.0,46.0,26.0,70.0,75.0,94.0,63.0
Reece James,88.0,RW,88.0,85.0,86.0,86.0,58.0,85.0,86.0,90.0,80.0,99.0,84.0,75.0,63.0,84.0,92.0,80.0,86.0,82.0,86.0,79.0,92.0,85.0,85.0,87.0,86.0,81.0,74.0,86.0,82.0,78.0,86.0,88.0,77.0
Theo Hernández,88.0,LW,95.0,82.0,81.0,85.0,65.0,85.0,94.0,96.0,79.0,95.0,82.0,75.0,57.0,78.0,90.0,68.0,84.0,72.0,74.0,82.0,80.0,89.0,83.0,87.0,84.0,92.0,87.0,96.0,95.0,70.0,92.0,83.0,84.0
Kai Havertz,88.0,CAM,88.0,86.0,77.0,89.0,49.0,84.0,83.0,92.0,88.0,81.0,85.0,87.0,79.0,80.0,72.0,52.0,82.0,77.0,82.0,82.0,79.0,89.0,90.0,90.0,89.0,56.0,99.0,68.0,56.0,95.0,98.0,88.0,53.0
David Alaba,88.0,CB,81.0,66.0,85.0,83.0,91.0,81.0,81.0,81.0,59.0,76.0,73.0,62.0,73.0,80.0,85.0,87.0,91.0,82.0,79.0,79.0,81.0,91.0,88.0,80.0,88.0,99.0,99.0,99.0,99.0,85.0,78.0,82.0,82.0
Federico Valverde,88.0,CM,91.0,79.0,85.0,84.0,84.0,85.0,86.0,95.0,74.0,89.0,86.0,75.0,63.0,87.0,71.0,71.0,93.0,91.0,75.0,81.0,72.0,89.0,88.0,83.0,87.0,99.0,92.0,99.0,99.0,66.0,91.0,84.0,86.0
Antonio Rüdiger,88.0,CB,83.0,54.0,73.0,69.0,87.0,86.0,73.0,92.0,41.0,78.0,68.0,35.0,41.0,63.0,70.0,58.0,82.0,80.0,51.0,58.0,51.0,88.0,74.0,66.0,80.0,99.0,99.0,99.0,99.0,85.0,72.0,91.0,93.0
Niklas Süle,88.0,CB,76.0,51.0,70.0,64.0,89.0,86.0,64.0,86.0,32.0,83.0,66.0,49.0,34.0,70.0,51.0,40.0,84.0,82.0,35.0,37.0,48.0,89.0,69.0,62.0,89.0,99.0,99.0,99.0,99.0,62.0,67.0,97.0,89.0
Martin Ødegaard,88.0,CAM,84.0,82.0,90.0,88.0,62.0,67.0,86.0,83.0,82.0,83.0,84.0,83.0,69.0,90.0,88.0,89.0,92.0,88.0,87.0,89.0,87.0,78.0,89.0,89.0,82.0,99.0,85.0,80.0,83.0,49.0,84.0,60.0,67.0
Eric Cantona,88.0,CF,87.0,88.0,87.0,90.0,50.0,90.0,86.0,88.0,85.0,92.0,87.0,93.0,88.0,90.0,87.0,82.0,87.0,84.0,88.0,87.0,85.0,87.0,90.0,91.0,92.0,46.0,89.0,51.0,45.0,91.0,90.0,89.0,91.0
Jairzinho,88.0,RW,91.0,88.0,84.0,90.0,47.0,74.0,92.0,90.0,89.0,90.0,85.0,85.0,81.0,90.0,83.0,77.0,85.0,78.0,83.0,90.0,86.0,88.0,88.0,92.0,90.0,44.0,87.0,42.0,41.0,83.0,83.0,80.0,44.0
George Best,88.0,RW,91.0,88.0,81.0,92.0,59.0,70.0,92.0,90.0,89.0,89.0,86.0,86.0,82.0,83.0,82.0,75.0,79.0,82.0,77.0,94.0,91.0,88.0,91.0,92.0,90.0,63.0,87.0,52.0,52.0,80.0,86.0,68.0,54.0
Xavi,88.0,CM,81.0,75.0,89.0,88.0,63.0,64.0,82.0,80.0,70.0,79.0,80.0,60.0,75.0,92.0,84.0,78.0,92.0,89.0,82.0,84.0,91.0,90.0,93.0,84.0,92.0,79.0,50.0,63.0,59.0,59.0,83.0,60.0,50.0
Luís Figo,88.0,CAM,88.0,84.0,87.0,88.0,42.0,77.0,89.0,87.0,85.0,81.0,84.0,78.0,83.0,88.0,88.0,83.0,90.0,83.0,76.0,86.0,78.0,85.0,88.0,89.0,88.0,42.0,64.0,41.0,38.0,71.0,80.0,76.0,76.0
Andrea Pirlo,88.0,CM,70.0,79.0,91.0,90.0,66.0,64.0,72.0,68.0,77.0,78.0,81.0,71.0,88.0,93.0,86.0,93.0,93.0,92.0,91.0,80.0,75.0,91.0,93.0,91.0,96.0,72.0,49.0,60.0,60.0,54.0,77.0,64.0,51.0
